coordinates,tarif,accessibilite_pmr,indications_localisation,type,horaires,relais_bebe,commune,code_postal,departement,code_departement,latitude,longitude
"[48.4387267998313, 2.1383536]",Gratuit,pas d'info,pas d'info,Toilettes publiques (Toilettes assises),pas d'info,pas d'info,Étampes,91223,Essonne,91,48.4387267998313,2.1383536
"[48.8587031997274, 2.3992102]",Gratuit,Non,pas d'info,Toilettes publiques,pas d'info,pas d'info,Paris,75056,Paris,75,48.8587031997274,2.3992102
"[48.3197946998604, 2.0888467]",Gratuit,pas d'info,pas d'info,Toilettes publiques,pas d'info,pas d'info,Le Mérévillois,91390,Essonne,91,48.3197946998604,2.0888467
"[48.5404711998062, 2.660456]",pas d'info,pas d'info,pas d'info,Toilettes publiques,pas d'info,pas d'info,Melun,77288,Seine-et-Marne,77,48.5404711998062,2.660456
"[48.5207305998111, 2.2656586]",pas d'info,pas d'info,pas d'info,Toilettes publiques,pas d'info,pas d'info,Lardy,91330,Essonne,91,48.5207305998111,2.2656586
"[48.8276452997351, 2.3114213]",Gratuit,Oui,pas d'info,Toilettes publiques,pas d'info,pas d'info,Paris,75056,Paris,75,48.8276452997351,2.3114213
"[48.863107849741, 1.78776885001049]",pas d'info,pas d'info,pas d'info,Toilettes publiques,pas d'info,pas d'info,Thoiry,78616,Yvelines,78,48.863107849741,1.78776885001049
"[48.8340554997393, 2.48425799999913]",Gratuit,pas d'info,pas d'info,Toilettes publiques,pas d'info,pas d'info,Nogent-sur-Marne,94052,Val-de-Marne,94,48.8340554997393,2.48425799999913
"[48.948917528874, 2.46285146231856]",Gratuit,pas d'info,pas d'info,Toilettes publiques,pas d'info,pas d'info,Le Blanc-Mesnil,93007,Seine-Saint-Denis,93,48.948917528874,2.46285146231856
"[48.5834883250657, 2.80615701462626]",Gratuit,Non,pas d'info,Toilettes publiques (Toilettes assises),pas d'info,pas d'info,Champeaux,77082,Seine-et-Marne,77,48.5834883250657,2.80615701462626
"[48.7817917497645, 2.22155069999987]",Gratuit,Oui,pas d'info,Toilettes publiques,pas d'info,pas d'info,Vélizy-Villacoublay,78640,Yvelines,78,48.7817917497645,2.22155069999987
"[48.8444566434017, 2.37690947110152]",Payant,Oui,2theloo,Toilettes publiques,pas d'info,Oui,Paris,75056,Paris,75,48.8444566434017,2.37690947110152
"[48.9635529359944, 1.83678194285767]",pas d'info,pas d'info,pas d'info,Toilettes publiques,pas d'info,pas d'info,Épône,78217,Yvelines,78,48.9635529359944,1.83678194285767
"[48.8823772209572, 2.38277306574689]",Gratuit,Non,pas d'info,Toilettes publiques,pas d'info,pas d'info,Paris,75056,Paris,75,48.8823772209572,2.38277306574689
"[48.8555976900301, 2.78390277491264]",Gratuit,pas d'info,Toilettes Les Terrases,Toilettes publiques,pas d'info,Oui,Serris,77449,Seine-et-Marne,77,48.8555976900301,2.78390277491264
"[48.8785865136033, 2.33671985387732]",Gratuit,Non,pas d'info,Toilettes publiques,pas d'info,pas d'info,Paris,75056,Paris,75,48.8785865136033,2.33671985387732
"[48.7784635277219, 2.32408163019357]",Gratuit,Non,pas d'info,Toilettes publiques,pas d'info,pas d'info,Bourg-la-Reine,92014,Hauts-de-Seine,92,48.7784635277219,2.32408163019357
"[48.8770472997228, 2.3661187]",Gratuit,Non,pas d'info,Toilettes publiques (urinoir),pas d'info,pas d'info,Paris,75056,Paris,75,48.8770472997228,2.3661187
"[49.0303556996848, 2.2284919]",pas d'info,pas d'info,pas d'info,Toilettes publiques,pas d'info,pas d'info,Taverny,95607,Val-d'Oise,95,49.0303556996848,2.2284919
"[48.8542701997285, 2.3546689]",Gratuit,Oui,pas d'info,Toilettes publiques,pas d'info,pas d'info,Paris,75056,Paris,75,48.8542701997285,2.3546689
"[48.8978899, 2.0947665]",Payant,Oui,Station RER A - Saint-Germain-en-Laye - A proximité du palier haut de l'ascenseur desservant les voies 2 et 4.,Toilette publique  RATP_x000D_,pas d'info,pas d'info,Saint-Germain-en-Laye,78551,Yvelines,78,48.8978899,2.0947665
"[48.75482748503882, 2.3008650705983067]",Gratuit,Oui,"Station RER B - Antony - Dans la salle d'échange, coté banlieue et point de vente - information",Toilette publique  RATP_x000D_,pas d'info,pas d'info,Antony,92002,Hauts-de-Seine,92,48.75482748503882,2.3008650705983067
"[48.90717445316718, 2.4492666955791327]",Gratuit,Non,Station metro 5 - Bobigny - Pablo Picasso - A proximité du point de vente - information.,Toilette publique  RATP_x000D_,pas d'info,pas d'info,Bobigny,93008,Seine-Saint-Denis,93,48.90717445316718,2.4492666955791327
"[48.858291026403705, 2.3483281842513337]",Gratuit,Oui,Station RER A - Chatelet - A proximité des sorties en direction des lignes 7 et 11,Toilette publique  RATP_x000D_,pas d'info,pas d'info,Paris,75056,Paris,75,48.858291026403705,2.3483281842513337
"[48.78005093776892, 2.3121626259597874]",Gratuit,Oui,"Station RER B - Bourg-la-Reine - En milieu de quai central, direction Paris",Toilette publique  RATP_x000D_,pas d'info,pas d'info,Bourg-la-Reine,92014,Hauts-de-Seine,92,48.78005093776892,2.3121626259597874
"[48.8731477, 2.3295277]",Gratuit,Oui,Station RER A - Auber - A proximité du point de vente - information.,Toilette publique  RATP_x000D_,pas d'info,pas d'info,Paris,75056,Paris,75,48.8731477,2.3295277
"[48.8915035997192, 2.3611019]",Gratuit,Oui,pas d'info,Toilettes publiques (Toilettes assises),pas d'info,pas d'info,Paris,75056,Paris,75,48.8915035997192,2.3611019
